"","County","Year","maytempDays90","maytempDays95","maytempDays99","juntempDays90","juntempDays95","juntempDays99","jultempDays90","jultempDays95","jultempDays99","augtempDays90","augtempDays95","augtempDays99","septempDays90","septempDays95","septempDays99","octtempDays90","octtempDays95","octtempDays99","meantemp","Average.x","sd.x","Anomaly.x","maypptDays90","maypptDays95","maypptDays99","junpptDays90","junpptDays95","junpptDays99","julpptDays90","julpptDays95","julpptDays99","augpptDays90","augpptDays95","augpptDays99","seppptDays90","seppptDays95","seppptDays99","octpptDays90","octpptDays95","octpptDays99","sumppt","Average.y","sd.y","Anomaly.y"
"69","F13003","2012",3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,30.5277613114761,31.2271197879053,0.656100337144207,-1.06593220097,2,2,0,3,2,1,2,1,1,3,3,1,0,0,0,0,0,0,713.639797177,623.640886918595,118.139130426326,0.761804407511962
"70","F13003","2013",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,30.1299135873248,31.2271197879053,0.656100337144207,-1.67231464223343,2,1,0,3,3,1,2,1,1,4,1,0,0,0,0,0,0,0,723.576530423,623.640886918595,118.139130426326,0.845914839086509
"71","F13003","2014",1,0,0,0,0,0,1,0,0,6,3,1,6,3,1,8,4,0,31.3945189656255,31.2271197879053,0.656100337144207,0.255142648529647,1,1,1,1,0,0,1,0,0,1,0,0,3,1,0,0,0,0,499.153265434,623.640886918595,118.139130426326,-1.0537374114348
"72","F13003","2015",4,1,0,7,4,0,1,0,0,0,0,0,1,1,0,1,0,0,31.3598144469054,31.2271197879053,0.656100337144207,0.202247509241678,1,0,0,3,1,0,3,1,0,2,2,0,1,1,0,1,0,0,561.482306571,623.640886918595,118.139130426326,-0.526147264867148
"73","F13003","2016",1,0,0,4,1,0,4,0,0,2,1,0,1,0,0,3,2,0,32.0619261412887,31.2271197879053,0.656100337144207,1.27237604695801,2,2,0,2,2,1,0,0,0,3,1,0,2,2,1,1,0,0,617.856591192,623.640886918595,118.139130426326,-0.0489617259389071
"74","F13003","2017",5,3,0,0,0,0,0,0,0,1,0,0,1,0,0,5,2,0,30.7614709354653,31.2271197879053,0.656100337144207,-0.709722013658582,3,0,0,1,0,0,1,0,0,2,0,0,2,2,1,0,0,0,721.129836894,623.640886918595,118.139130426326,0.82520456705242
"75","F13005","1981",2,1,0,11,8,0,18,11,4,0,0,0,2,0,0,6,4,1,31.5265881194585,31.0963322710733,0.680882883228422,0.63190874522363,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,479.567381172,654.471434304243,134.494142720339,-1.30045851510375
"76","F13005","1982",3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,0,31.0153635984622,31.0963322710733,0.680882883228422,-0.118917180333882,0,0,0,4,1,0,4,2,1,0,0,0,0,0,0,0,0,0,702.981666274,654.471434304243,134.494142720339,0.360686577040213
"77","F13005","1983",0,0,0,0,0,0,11,1,0,11,8,3,9,5,0,4,3,0,31.2585240419854,31.0963322710733,0.680882883228422,0.238208030936249,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,376.512619161,654.471434304243,134.494142720339,-2.06669829273695
"78","F13005","1984",0,0,0,2,1,0,0,0,0,0,0,0,8,6,0,9,5,0,31.1691618817193,31.0963322710733,0.680882883228422,0.106963491725109,2,1,0,1,1,0,3,2,0,0,0,0,2,1,0,0,0,0,583.149285238,654.471434304243,134.494142720339,-0.530299295000135
"79","F13005","1985",2,0,0,8,6,5,0,0,0,0,0,0,4,2,0,6,3,0,31.2067884344986,31.0963322710733,0.680882883228422,0.162224908491572,1,0,0,1,1,0,3,0,0,3,3,0,0,0,0,1,1,0,683.629999434,654.471434304243,134.494142720339,0.216801747198671
"80","F13005","1986",9,7,2,8,0,0,17,13,3,5,2,2,6,3,0,9,9,6,32.3307087142522,31.0963322710733,0.680882883228422,1.81290567524038,0,0,0,1,1,0,0,0,0,3,1,1,1,1,0,1,0,0,533.302143548,654.471434304243,134.494142720339,-0.900926154146337
"81","F13005","1987",0,0,0,0,0,0,3,1,0,9,4,0,1,0,0,0,0,0,31.3236318757569,31.0963322710733,0.680882883228422,0.333830692887685,0,0,0,3,2,0,2,1,1,1,0,0,1,0,0,0,0,0,509.419047715,654.471434304243,134.494142720339,-1.07850337312353
"82","F13005","1988",0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,30.8208881727657,31.0963322710733,0.680882883228422,-0.404539613335004,1,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,510.787381049,654.471434304243,134.494142720339,-1.0683294480267
"83","F13005","1989",2,2,0,2,0,0,0,0,0,2,0,0,1,0,0,5,1,0,30.4974372386932,31.0963322710733,0.680882883228422,-0.879585971585057,1,1,0,3,2,0,1,1,0,2,1,0,1,1,0,2,0,0,720.71047598,654.471434304243,134.494142720339,0.492505029111129
"84","F13005","1990",5,4,1,5,2,0,11,8,1,9,2,0,14,7,3,10,8,2,32.5836228013779,31.0963322710733,0.680882883228422,2.18435588107684,2,1,0,0,0,0,1,1,0,2,2,1,0,0,0,2,2,1,585.998094599,654.471434304243,134.494142720339,-0.50911763382606
"85","F13005","1991",0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,30.9663536536274,31.0963322710733,0.680882883228422,-0.190897172843661,2,1,0,3,1,0,2,2,1,1,0,0,0,0,0,0,0,0,713.911189723,654.471434304243,134.494142720339,0.441950513356952
"86","F13005","1992",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30.0821172348214,31.0963322710733,0.680882883228422,-1.48955872035293,1,0,0,4,1,0,2,1,0,3,2,0,2,1,0,1,1,0,788.253333247,654.471434304243,134.494142720339,0.994704276608813
"87","F13005","1993",0,0,0,4,2,0,5,2,0,3,0,0,2,0,0,1,0,0,31.7061250192532,31.0963322710733,0.680882883228422,0.895591243663631,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,519.847857583,654.471434304243,134.494142720339,-1.00096237648931
