"","County","Year","NumpptDays90","County1","NumpptDays95","County2","NumpptDays99","sumppt","Average","sd","Anomaly"
"3701","F13205","1981",1,"F13205",0,"F13205",0,533.882763522,625.265395829,144.445397629408,-0.632644818088652
"3702","F13205","1982",1,"F13205",0,"F13205",0,649.535131394,625.265395829,144.445397629408,0.16802013745891
"3703","F13205","1983",1,"F13205",0,"F13205",0,594.501447767,625.265395829,144.445397629408,-0.212979773443031
"3704","F13205","1984",1,"F13205",1,"F13205",0,585.940921009,625.265395829,144.445397629408,-0.272244567603958
"3705","F13205","1985",3,"F13205",3,"F13205",1,813.047631742,625.265395829,144.445397629408,1.30002228520134
"3706","F13205","1986",0,"F13205",0,"F13205",0,373.146579046,625.265395829,144.445397629408,-1.74542644432217
"3707","F13205","1987",1,"F13205",0,"F13205",0,572.615394756,625.265395829,144.445397629408,-0.36449760211869
"3708","F13205","1988",0,"F13205",0,"F13205",0,460.37171042,625.265395829,144.445397629408,-1.14156413506545
"3709","F13205","1989",2,"F13205",0,"F13205",0,750.428289704,625.265395829,144.445397629408,0.866506624157872
"3710","F13205","1990",1,"F13205",0,"F13205",0,383.969210374,625.265395829,144.445397629408,-1.6705010295591
"3711","F13205","1991",1,"F13205",1,"F13205",0,697.290658254,625.265395829,144.445397629408,0.498633141706525
"3712","F13205","1992",0,"F13205",0,"F13205",0,576.86302657,625.265395829,144.445397629408,-0.335091114382073
"3713","F13205","1993",0,"F13205",0,"F13205",0,525.252368161,625.265395829,144.445397629408,-0.692393314770715
"3714","F13205","1994",0,"F13205",0,"F13205",0,979.927631367,625.265395829,144.445397629408,2.455337735633
"3715","F13205","1995",0,"F13205",0,"F13205",0,605.634473708,625.265395829,144.445397629408,-0.135905487077999
"3716","F13205","1996",1,"F13205",1,"F13205",0,603.821841857,625.265395829,144.445397629408,-0.148454394005796
"3717","F13205","1997",1,"F13205",1,"F13205",0,622.605394743,625.265395829,144.445397629408,-0.0184152706119756
"3718","F13205","1998",1,"F13205",0,"F13205",0,709.436316485,625.265395829,144.445397629408,0.582717913048019
"3719","F13205","1999",0,"F13205",0,"F13205",0,486.698684001,625.265395829,144.445397629408,-0.959301674557394
"3720","F13205","2000",0,"F13205",0,"F13205",0,454.158947547,625.265395829,144.445397629408,-1.18457528651064
"3721","F13205","2001",1,"F13205",1,"F13205",0,660.808684238,625.265395829,144.445397629408,0.246067295963216
"3722","F13205","2002",1,"F13205",0,"F13205",0,945.954341751,625.265395829,144.445397629408,2.22013959035763
"3723","F13205","2003",1,"F13205",1,"F13205",1,869.172631288,625.265395829,144.445397629408,1.68857741030125
"3724","F13205","2004",1,"F13205",1,"F13205",1,806.602236683,625.265395829,144.445397629408,1.25540061386546
"3725","F13205","2005",2,"F13205",1,"F13205",0,713.246052587,625.265395829,144.445397629408,0.609092835091394
"3726","F13205","2006",3,"F13205",1,"F13205",0,567.441315714,625.265395829,144.445397629408,-0.400317912955278
"3727","F13205","2007",0,"F13205",0,"F13205",0,525.415789784,625.265395829,144.445397629408,-0.691261941769692
"3728","F13205","2008",0,"F13205",0,"F13205",0,725.971447491,625.265395829,144.445397629408,0.697191141529987
"3729","F13205","2009",2,"F13205",0,"F13205",0,612.401710403,625.265395829,144.445397629408,-0.0890556960423431
"3730","F13205","2010",2,"F13205",2,"F13205",1,605.198420954,625.265395829,144.445397629408,-0.138924293915437
"3731","F13205","2011",0,"F13205",0,"F13205",0,418.279605549,625.265395829,144.445397629408,-1.43296909196821
"3732","F13205","2012",0,"F13205",0,"F13205",0,536.559078942,625.265395829,144.445397629408,-0.614116602832764
"3733","F13205","2013",0,"F13205",0,"F13205",0,817.605394707,625.265395829,144.445397629408,1.33157582058427
"3734","F13205","2014",3,"F13205",2,"F13205",0,537.772237101,625.265395829,144.445397629408,-0.605717871001152
"3735","F13205","2015",0,"F13205",0,"F13205",0,529.611697078,625.265395829,144.445397629408,-0.662213544500814
